Ciclo,CE_media,CE_desvio,CE_min,CE_max,CE_mediana,CP_media,CP_desvio,CP_min,CP_max,CP_mediana,EPS1_media,EPS1_desvio,EPS1_min,EPS1_max,EPS1_mediana,FS1_media,FS1_desvio,FS1_min,FS1_max,FS1_mediana,FS2_media,FS2_desvio,FS2_min,FS2_max,FS2_mediana,PS1_media,PS1_desvio,PS1_min,PS1_max,PS1_mediana,PS2_media,PS2_desvio,PS2_min,PS2_max,PS2_mediana,PS3_media,PS3_desvio,PS3_min,PS3_max,PS3_mediana,PS4_media,PS4_desvio,PS4_min,PS4_max,PS4_mediana,PS5_media,PS5_desvio,PS5_min,PS5_max,PS5_mediana,PS6_media,PS6_desvio,PS6_min,PS6_max,PS6_mediana,SE_media,SE_desvio,SE_min,SE_max,SE_mediana,TS1_media,TS1_desvio,TS1_min,TS1_max,TS1_mediana,TS2_media,TS2_desvio,TS2_min,TS2_max,TS2_mediana,TS3_media,TS3_desvio,TS3_min,TS3_max,TS3_mediana,TS4_media,TS4_desvio,TS4_min,TS4_max,TS4_mediana,VS1_media,VS1_desvio,VS1_min,VS1_max,VS1_mediana,Cooler_condition,Valve_condition,Pump_leakage,Accumulator_pressure,Stable_flag
11,18.112016666666666,0.27409094690474356,17.528,18.665,18.1885,1.14535,0.01648504715373963,1.105,1.18,1.148,2478.7949,192.98019413023826,2274.0,2905.4,2415.8,6.659208333333334,3.007183304018978,0.0,19.415,7.7965,9.964415,0.020771017474951508,9.913,10.029,9.964,159.3217566666667,14.451743765503444,144.06,191.16,154.63,108.43785166666666,46.67805872186636,0.0,160.94,128.415,1.832484,0.9124761453667198,0.0,10.617,2.102,0.0,0.0,0.0,0.0,0.0,9.068216833333333,0.0245018000632692,9.003,9.148,9.068,8.983758166666666,0.024029306785038358,8.922,9.08,8.984,59.58435,23.993465310812987,0.0,80.731,69.13749999999999,44.10611666666667,0.42895099051044455,43.246,44.582,44.1975,48.58626666666667,0.28474900435335,48.129,48.984,48.5525,45.36508333333333,0.14771230531422352,45.121,45.668,45.379,41.1002,0.15606254721767326,40.875,41.336,41.086,0.5687,0.035668578015209916,0.52,0.657,0.563,3,100,0,130,1
12,18.068833333333334,0.28713660403809654,17.42,18.533,18.1295,1.1645833333333333,0.017415453557081784,1.123,1.203,1.1675,2472.2732,193.74692157561972,2266.8,2899.4,2407.8,6.663306666666666,3.005156640956232,0.0,19.707,7.795,9.931453333333334,0.014950150519526405,9.891,9.978,9.931,159.23511333333335,14.46596442026098,143.93,191.06,154.52,108.3167815,46.6756736344351,0.0,164.73,128.29000000000002,1.8256623333333333,0.9086818297727641,0.0,10.617,2.102,0.0,0.0,0.0,0.0,0.0,9.023033666666667,0.02454946664609955,8.955,9.087,9.024,8.940413000000001,0.02483381197822095,8.879,9.009,8.941,59.758183333333335,24.049584082870112,0.0,80.972,69.04400000000001,44.6385,0.40631942431573587,43.812,45.09,44.7305,49.11421666666667,0.28019848241562945,48.68,49.508,49.086,45.921483333333335,0.12807274041012753,45.629,46.141,45.957,41.56785,0.15730740982687016,41.297,41.82,41.576,0.57815,0.034495307959002804,0.533,0.662,0.5674999999999999,3,100,0,130,1
13,17.742283333333333,0.3542904626445718,17.167,18.416,17.747,1.1629666666666667,0.024275932607313085,1.124,1.208,1.1585,2467.228833333333,192.6308516726772,2265.8,2891.4,2403.8,6.655926666666667,3.007961619290952,0.0,19.628,7.7915,9.914133333333332,0.017766775718212204,9.875,9.971,9.914,159.13514833333335,14.464266533278568,144.01,191.08,154.34,108.24107966666666,46.650725476876694,0.0,163.84,128.28500000000003,1.8158948333333333,0.902952433754353,0.0,10.398,2.078,0.0,0.0,0.0,0.0,0.0,8.981116666666667,0.024803412206764294,8.914,9.048,8.981,8.9016205,0.0252014086560641,8.835,8.969,8.901,59.73681666666666,24.03453408594664,0.0,81.327,69.2645,45.1596,0.38980752312486594,44.398,45.605,45.25,49.60216666666667,0.2603269239718259,49.16,49.969,49.5625,46.39106666666667,0.13471047002539718,46.117,46.641,46.453,42.038333333333334,0.13595870094106918,41.793,42.25,41.992,0.5842333333333334,0.03512465292266747,0.539,0.681,0.5734999999999999,3,100,0,130,1
14,17.678150000000002,0.21111213383140043,17.245,18.212,17.616999999999997,1.1799,0.014403036403033835,1.152,1.216,1.1785,2465.3071666666665,192.5134715669561,2263.6,2887.6,2401.6,6.6654100000000005,3.0118857866603235,0.0,20.121,7.776999999999999,9.89123,0.019165575880504347,9.842,9.988,9.891,159.08735166666668,14.476303591177492,143.98,191.0,154.29,108.21403683333334,46.62857172052972,0.0,166.67,128.07999999999998,1.807515,0.903908832776473,0.0,10.617,2.062,0.0,0.0,0.0,0.0,0.0,8.948214499999999,0.023195592160283045,8.896,9.008,8.948,8.870686666666668,0.023342792675339865,8.817,8.936,8.87,59.91648333333333,24.087325234774806,0.0,81.367,69.277,45.62873333333334,0.4001435279219839,44.82,46.082,45.712999999999994,50.06426666666666,0.2521735255843652,49.656,50.41,50.01349999999999,46.86816666666667,0.12901887480712584,46.621,47.074,46.891,42.43971666666666,0.125506309067781,42.195,42.648,42.477,0.5885666666666667,0.03840743513235857,0.537,0.671,0.5714999999999999,3,100,0,130,1
15,17.778833333333335,0.27531000503079656,17.266,18.421,17.738,1.2018666666666666,0.01750880327407895,1.177,1.245,1.1985000000000001,2461.7723333333333,193.85837497035348,2257.8,2888.6,2397.8,6.669133333333334,3.0239001828900323,0.0,20.479,7.781,9.856931666666666,0.017346810954929383,9.806,9.92,9.856,158.98582333333331,14.53045666467282,143.61,190.94,154.23,108.12740333333333,46.588154064284524,0.0,166.99,128.2,1.8038095,0.9072894500842165,0.0,11.055,2.062,0.0,0.0,0.0,0.0,0.0,8.915401333333334,0.023445281225811288,8.858,8.981,8.915,8.8407555,0.023490793004409732,8.785,8.904,8.84,60.04731666666667,24.13480419382543,0.0,81.222,69.441,46.05918333333333,0.361561748561155,45.301,46.434,46.1135,50.509083333333336,0.26411754520216074,50.062,50.836,50.488,47.318266666666666,0.127581129610807,47.078,47.512,47.355,42.79893333333334,0.1315148849817088,42.605,43.043,42.805,0.5824666666666667,0.03346765028828901,0.536,0.671,0.576,3,100,0,130,1
16,17.692366666666665,0.34795465156830707,17.171,18.398,17.62,1.2073833333333333,0.025441252811777348,1.171,1.264,1.2,2459.511366666667,193.27550053567896,2252.0,2885.6,2395.6,6.649888333333333,3.0222046551305968,0.0,20.479,7.781000000000001,9.835401666666666,0.01635500353990139,9.79,9.884,9.8345,158.86424,14.554577754484447,143.15,190.98,154.06,108.03851166666666,46.52856746114725,0.0,167.12,127.94,1.8023995000000002,0.9046690735227529,0.0,11.242,2.062,0.0,0.0,0.0,0.0,0.0,8.890655333333333,0.022184752243249343,8.842,8.951,8.891,8.816202,0.022854895617985295,8.761,8.88,8.816,59.8111,24.07218957720045,0.0,81.504,69.168,46.462250000000004,0.3614676123053954,45.715,46.867,46.539,50.91523333333334,0.23267540252001878,50.531,51.227,50.875,47.70863333333333,0.10215424805400546,47.484,47.832,47.742000000000004,43.15196666666667,0.11587002751720041,42.914,43.312,43.137,0.5823666666666667,0.03514857890256814,0.53,0.675,0.5705,3,100,0,130,1
17,17.721516666666666,0.3728832457643456,17.042,18.415,17.687,1.2196166666666668,0.027887845397304493,1.17,1.278,1.2145000000000001,2458.1661,193.32443154818588,2250.8,2885.4,2394.0,6.649658333333334,2.9982746805505696,0.0,19.561,7.77,9.799335,0.019999485177015285,9.735,9.857,9.799,158.81964166666666,14.526439886091396,143.27,190.9,154.04,107.981409,46.527131131748845,0.0,159.95,127.85,1.7936563333333333,0.9016438222252278,0.0,10.609,2.055,5e-07,3.872983346207419e-05,0.0,0.003,0.0,8.889613166666667,0.02422295024404233,8.828,8.951,8.889,8.813412333333334,0.02461301040647333,8.744,8.877,8.814,59.866616666666665,24.077545941093753,0.0,81.33,69.26050000000001,46.83956666666666,0.36919690059970084,46.113,47.246,46.91,51.29886666666667,0.24252076386148283,50.898,51.594,51.2795,48.06265,0.1212538764014318,47.801,48.238,48.078,43.44553333333333,0.09468493099851372,43.273,43.574,43.453,0.5849,0.031460332839512016,0.534,0.666,0.581,3,100,0,130,1
18,17.82015,0.40101641307971897,17.169,18.577,17.880499999999998,1.2421833333333334,0.03036528552429146,1.188,1.304,1.2385000000000002,2455.5882333333334,193.93285399897934,2254.8,2885.8,2391.8,6.639613333333333,3.008711556331752,0.0,19.757,7.759,9.779605,0.01686850771667878,9.737,9.834,9.779499999999999,158.79358,14.511288157761815,143.36,190.89,153.94,107.95498783333333,46.518654142500154,0.0,162.94,127.715,1.7949478333333333,0.8996123286369566,0.0,10.406,2.047,0.0,0.0,0.0,0.0,0.0,8.8617665,0.02279789321565914,8.805,8.922,8.862,8.786334666666667,0.023640526163809836,8.725,8.845,8.786,59.76801666666667,24.075723234638332,0.0,81.847,69.37899999999999,47.15218333333333,0.34624476948465016,46.422,47.531,47.25,51.6532,0.23506881790774214,51.273,51.945,51.6015,48.44433333333333,0.10173472761186554,48.223,48.586,48.428,43.732033333333334,0.12637031493660916,43.531,43.98,43.732,0.5930833333333333,0.043090087603966466,0.541,0.696,0.5785,3,100,0,130,1
19,17.555983333333334,0.24519431876534606,17.201,18.142,17.500999999999998,1.2353166666666666,0.020384849530851994,1.21,1.282,1.231,2452.2997666666665,193.96646268032893,2246.0,2881.4,2388.0,6.660111666666666,3.0186457769019386,0.0,20.343,7.772,9.760646666666666,0.016807517463753564,9.715,9.81,9.761,158.65068833333333,14.587743973003379,143.01,190.9,153.85,107.83698666666668,46.48517889784544,0.0,166.52,127.81,1.7934546666666664,0.8994386736178797,0.0,10.969,2.055,0.0,0.0,0.0,0.0,0.0,8.8365825,0.023497160392434917,8.772,8.913,8.837,8.762949166666667,0.024051680395773812,8.698,8.839,8.763,60.0963,24.15566372179987,0.0,81.559,69.4965,47.46976666666667,0.3448039662492979,46.773,47.855,47.531,51.9964,0.24288702821389768,51.578,52.289,51.995999999999995,48.740183333333334,0.09506794923501667,48.57,48.855,48.7695,44.044,0.09018718763527976,43.852,44.207,44.049,0.6039,0.030539055294902032,0.556,0.688,0.5945,3,100,0,130,1
20,17.66436666666667,0.3878406088241755,17.042,18.492,17.683,1.2561166666666668,0.02973560991765844,1.212,1.325,1.2585,2448.3263333333334,195.16570028649346,2245.8,2881.4,2383.4,6.64878,3.0032722273745898,0.0,19.874,7.7684999999999995,9.741035,0.015468761401574304,9.699,9.794,9.741,158.59539833333335,14.590948388315038,143.06,190.8,153.77,107.76220716666667,46.43967914544012,0.0,157.73,127.655,1.8003541666666667,0.9016864609228662,0.0,10.727,2.062,0.0,0.0,0.0,0.0,0.0,8.815813666666667,0.023406016039046414,8.758,8.871,8.816,8.7445195,0.023591411831468734,8.683,8.801,8.744,60.0189,24.14703281536762,0.0,81.708,69.435,47.75106666666667,0.332348442159201,47.031,48.109,47.8125,52.313583333333334,0.2065451312496567,51.922,52.598,52.3125,49.08618333333333,0.10270436289754943,48.832,49.258,49.082,44.303866666666664,0.103473482506009,44.16,44.457,44.297,0.60335,0.03705690767967107,0.557,0.715,0.5925,3,100,0,130,1
21,17.734166666666667,0.32979825197482754,17.132,18.265,17.732,1.2668833333333334,0.027960681635363,1.224,1.317,1.264,2444.7216333333336,193.28400743444934,2242.0,2875.6,2379.8,6.638245,3.0210415369960444,0.0,20.479,7.764,9.695861666666666,0.02999442124905179,9.635,9.769,9.696,158.61717000000002,14.559449594215952,143.2,190.82,153.73,107.79408933333333,46.453507810584064,0.0,166.47,127.78,1.8004373333333332,0.9024232863264171,0.0,11.008,2.062,0.0,0.0,0.0,0.0,0.0,8.8195605,0.03763025395103045,8.735,8.916,8.82,8.751074833333334,0.038412092038501,8.667,8.851,8.751,59.94155,24.103487877170707,0.0,81.57,69.352,48.0262,0.3394224806034328,47.363,48.453,48.059,52.58476666666666,0.21511860084469517,52.203,52.848,52.586,49.347150000000006,0.08558211935060751,49.23,49.516,49.332,44.49848333333333,0.07443834706737953,44.391,44.621,44.463,0.6186666666666666,0.037529950374883776,0.55,0.706,0.609,3,100,0,130,1
22,17.942616666666666,0.2715567232730626,17.556,18.426,17.923000000000002,1.2905,0.02202348515346942,1.263,1.333,1.289,2441.7758000000003,193.21885360541492,2242.0,2869.4,2377.6,6.6441333333333334,2.9992769750130845,0.0,19.801,7.7669999999999995,9.656905,0.016149013160048332,9.611,9.708,9.657,158.57060333333334,14.533623365745605,143.11,190.89,153.755,107.739285,46.43367296852221,0.0,160.49,127.66,1.7975006666666669,0.9029478326372493,0.0,10.992,2.055,0.0,0.0,0.0,0.0,0.0,8.829950666666667,0.023101634440181956,8.769,8.898,8.83,8.7603445,0.02343227827223776,8.7,8.825,8.76,60.1872,24.185050065509202,0.0,81.855,69.604,48.27095,0.30974847231534797,47.617,48.625,48.34,52.840050000000005,0.20038652691608128,52.516,53.09,52.84,49.62603333333333,0.07298594400703882,49.422,49.75,49.664,44.66851666666666,0.07135171696688333,44.566,44.805,44.637,0.6306999999999999,0.0295487531642085,0.577,0.712,0.6225,3,100,0,130,1
23,17.95565,0.1564768705494498,17.679,18.429,17.934,1.2976833333333333,0.012867633376055064,1.271,1.332,1.294,2438.7712,193.99063294784654,2237.8,2867.4,2374.4,6.636838333333333,3.0234938924573287,0.0,20.479,7.762,9.632158333333333,0.017030070543800103,9.586,9.686,9.632,158.53252166666667,14.574532061853564,143.13,190.85,153.69,107.73017866666667,46.396564034543,0.0,166.6,127.65,1.7913808333333332,0.9023635764683011,0.0,10.883,2.047,0.0,0.0,0.0,0.0,0.0,8.833388333333334,0.024234426238818954,8.778,8.896,8.834,8.763845666666667,0.024939510375143234,8.704,8.828,8.764,60.08256666666667,24.143876620164328,0.0,81.893,69.6565,48.49956666666667,0.30809350147271014,47.855,48.879,48.547,53.062083333333334,0.1894671646939844,52.738,53.309,53.0665,49.85611666666667,0.07730154287640319,49.652,50.004,49.869,44.855266666666665,0.04763557517863348,44.762,44.965,44.867,0.6217333333333334,0.04110254504333698,0.566,0.723,0.6114999999999999,3,100,0,130,1
24,17.929516666666665,0.21736484143896614,17.438,18.486,17.926000000000002,1.3022833333333332,0.017518118143134885,1.262,1.346,1.3035,2437.6506333333336,193.01604175558523,2238.0,2865.4,2373.6,6.63277,3.012441952075485,0.0,19.905,7.7595,9.616863333333335,0.01801913253881282,9.553,9.666,9.617,158.50901166666665,14.524258742595755,143.43,190.8,153.67,107.73016933333332,46.41822857893292,0.0,160.16,127.53999999999999,1.7924931666666668,0.903080110271267,0.0,11.062,2.047,0.0,0.0,0.0,0.0,0.0,8.8250945,0.02301465146626889,8.771,8.889,8.826,8.7546255,0.02349076880648639,8.698,8.818,8.755,59.9592,24.147482362223563,0.0,82.106,69.44550000000001,48.71131666666667,0.2914825628803115,48.094,49.043,48.789,53.25635,0.18012065871219854,52.922,53.484,53.2655,50.07588333333333,0.07378256917541486,49.922,50.25,50.074,45.05455,0.06526177405297606,44.937,45.145,45.059,0.6250333333333333,0.0268826493515462,0.586,0.691,0.619,3,100,0,130,1
25,17.960766666666665,0.310941509932122,17.32,18.664,17.9265,1.3104666666666667,0.023729740094905166,1.258,1.367,1.3065,2437.1267666666668,192.9034718932152,2238.0,2867.8,2372.8,6.6347499999999995,3.0242284796835195,0.0,20.479,7.758,9.606636666666667,0.01866016233368287,9.549,9.662,9.606,158.44460833333335,14.55391037938444,143.3,190.78,153.59,107.71205083333334,46.33807118676609,0.0,166.78,127.53999999999999,1.7926175,0.9098831223898035,0.0,11.266,2.031,0.0,0.0,0.0,0.0,0.0,8.814211,0.02515722480706918,8.75,8.882,8.815,8.743425166666666,0.02520682375798591,8.678,8.814,8.743,60.04371666666667,24.14979641777662,0.0,81.508,69.609,48.919533333333334,0.2960626632403515,48.289,49.293,48.9745,53.4621,0.18692549952556647,53.117,53.687,53.449,50.26948333333333,0.06702883054547497,50.156,50.418,50.275000000000006,45.20803333333333,0.0779971678465982,45.094,45.316,45.213,0.6333,0.03195457581089494,0.588,0.722,0.633,3,100,0,130,1
